BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,
Sequences_v5.nlogo,,,,,,,,,
FirstExperiment,,,,,,,,,
01/22/2018 16:34:03:414 -0500,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,
0,32,0,32,,,,,,
[run number],1,1,1,2,2,2,3,3,3
%core,0.1,,,0.2,,,0.5,,
totalNumActions,100,,,100,,,100,,
[reporter],prevDeciderColor,myRole,myAction,prevDeciderColor,myRole,myAction,prevDeciderColor,myRole,myAction
[final],55,"""periphery""",1,55,"""periphery""",7,55,"""periphery""",1
[min],15,,0,15,,0,15,,0
[max],55,,7,55,,7,55,,7
[mean],51.76767677,,3.03030303,44.8989899,,2.848484848,36.81818182,,2.828282828
[steps],98,98,98,98,98,98,98,98,98
,,,,,,,,,
[all run data],prevDeciderColor,myRole,myAction,prevDeciderColor,myRole,myAction,prevDeciderColor,myRole,myAction
,55,"""periphery""",5,55,"""periphery""",5,55,"""periphery""",1
,55,"""periphery""",1,15,"""core""",1,15,"""core""",4
,55,"""periphery""",6,55,"""periphery""",4,55,"""periphery""",1
,55,"""periphery""",1,55,"""periphery""",4,55,"""periphery""",6
,55,"""periphery""",4,55,"""periphery""",1,55,"""periphery""",1
,55,"""periphery""",1,55,"""periphery""",4,15,"""core""",6
,55,"""periphery""",1,55,"""periphery""",2,55,"""periphery""",2
,55,"""periphery""",1,55,"""periphery""",2,15,"""core""",4
,55,"""periphery""",4,55,"""periphery""",0,15,"""core""",1
,55,"""periphery""",4,15,"""core""",1,15,"""core""",1
,55,"""periphery""",7,55,"""periphery""",7,15,"""core""",1
,55,"""periphery""",7,55,"""periphery""",1,55,"""periphery""",7
,55,"""periphery""",4,55,"""periphery""",6,55,"""periphery""",7
,55,"""periphery""",4,15,"""core""",1,55,"""periphery""",7
,55,"""periphery""",4,55,"""periphery""",1,55,"""periphery""",6
,55,"""periphery""",4,55,"""periphery""",6,15,"""core""",0
,55,"""periphery""",1,55,"""periphery""",1,15,"""core""",4
,55,"""periphery""",2,55,"""periphery""",1,55,"""periphery""",2
,15,"""core""",4,15,"""core""",1,55,"""periphery""",1
,55,"""periphery""",4,55,"""periphery""",2,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",6,55,"""periphery""",4
,55,"""periphery""",1,15,"""core""",1,55,"""periphery""",5
,55,"""periphery""",6,55,"""periphery""",1,15,"""core""",1
,15,"""core""",1,15,"""core""",4,55,"""periphery""",1
,55,"""periphery""",1,55,"""periphery""",1,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",1,15,"""core""",4
,55,"""periphery""",2,55,"""periphery""",4,15,"""core""",1
,55,"""periphery""",0,15,"""core""",2,15,"""core""",1
,55,"""periphery""",1,15,"""core""",0,55,"""periphery""",6
,55,"""periphery""",2,55,"""periphery""",1,55,"""periphery""",0
,15,"""core""",1,55,"""periphery""",2,55,"""periphery""",1
,55,"""periphery""",1,15,"""core""",1,55,"""periphery""",6
,55,"""periphery""",1,15,"""core""",6,55,"""periphery""",6
,55,"""periphery""",6,15,"""core""",1,55,"""periphery""",0
,55,"""periphery""",1,15,"""core""",1,55,"""periphery""",6
,15,"""core""",1,55,"""periphery""",1,55,"""periphery""",1
,55,"""periphery""",6,55,"""periphery""",4,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",4,55,"""periphery""",1
,15,"""core""",2,55,"""periphery""",1,55,"""periphery""",1
,55,"""periphery""",2,55,"""periphery""",4,55,"""periphery""",4
,55,"""periphery""",6,55,"""periphery""",4,55,"""periphery""",1
,55,"""periphery""",2,15,"""core""",3,15,"""core""",1
,55,"""periphery""",4,15,"""core""",7,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",6,15,"""core""",4
,55,"""periphery""",2,55,"""periphery""",2,15,"""core""",0
,55,"""periphery""",1,55,"""periphery""",1,55,"""periphery""",4
,55,"""periphery""",1,15,"""core""",6,15,"""core""",7
,55,"""periphery""",6,55,"""periphery""",6,55,"""periphery""",0
,55,"""periphery""",6,55,"""periphery""",1,55,"""periphery""",6
,55,"""periphery""",1,15,"""core""",1,55,"""periphery""",1
,55,"""periphery""",4,55,"""periphery""",1,15,"""core""",1
,55,"""periphery""",7,55,"""periphery""",6,55,"""periphery""",1
,55,"""periphery""",7,55,"""periphery""",1,15,"""core""",1
,15,"""core""",7,55,"""periphery""",6,55,"""periphery""",3
,55,"""periphery""",3,55,"""periphery""",1,55,"""periphery""",4
,15,"""core""",4,55,"""periphery""",2,15,"""core""",7
,55,"""periphery""",4,55,"""periphery""",1,15,"""core""",3
,55,"""periphery""",4,55,"""periphery""",1,15,"""core""",4
,55,"""periphery""",6,55,"""periphery""",4,55,"""periphery""",6
,55,"""periphery""",1,55,"""periphery""",0,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",1,15,"""core""",1
,55,"""periphery""",2,55,"""periphery""",4,55,"""periphery""",1
,15,"""core""",2,15,"""core""",4,55,"""periphery""",6
,55,"""periphery""",1,55,"""periphery""",1,55,"""periphery""",1
,55,"""periphery""",7,55,"""periphery""",4,55,"""periphery""",2
,55,"""periphery""",7,15,"""core""",4,15,"""core""",6
,55,"""periphery""",7,55,"""periphery""",2,15,"""core""",1
,55,"""periphery""",6,55,"""periphery""",1,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",1,55,"""periphery""",4
,55,"""periphery""",6,55,"""periphery""",1,55,"""periphery""",4
,55,"""periphery""",1,15,"""core""",7,15,"""core""",6
,55,"""periphery""",4,15,"""core""",3,15,"""core""",6
,55,"""periphery""",1,55,"""periphery""",4,15,"""core""",1
,55,"""periphery""",2,55,"""periphery""",1,15,"""core""",6
,55,"""periphery""",2,15,"""core""",6,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",1,55,"""periphery""",1
,55,"""periphery""",1,55,"""periphery""",4,55,"""periphery""",2
,55,"""periphery""",1,55,"""periphery""",1,55,"""periphery""",4
,55,"""periphery""",2,55,"""periphery""",4,15,"""core""",1
,55,"""periphery""",2,55,"""periphery""",6,55,"""periphery""",1
,55,"""periphery""",4,55,"""periphery""",1,55,"""periphery""",0
,55,"""periphery""",1,55,"""periphery""",4,15,"""core""",6
,55,"""periphery""",4,55,"""periphery""",0,15,"""core""",1
,55,"""periphery""",4,55,"""periphery""",0,55,"""periphery""",1
,55,"""periphery""",4,55,"""periphery""",1,15,"""core""",4
,55,"""periphery""",1,55,"""periphery""",4,15,"""core""",3
,55,"""periphery""",4,55,"""periphery""",6,15,"""core""",4
,55,"""periphery""",1,15,"""core""",1,55,"""periphery""",1
,55,"""periphery""",1,55,"""periphery""",1,55,"""periphery""",6
,55,"""periphery""",4,15,"""core""",4,55,"""periphery""",0
,55,"""periphery""",4,55,"""periphery""",3,55,"""periphery""",1
,55,"""periphery""",1,55,"""periphery""",4,15,"""core""",1
,55,"""periphery""",6,55,"""periphery""",6,55,"""periphery""",2
,55,"""periphery""",1,15,"""core""",1,55,"""periphery""",7
,55,"""periphery""",6,15,"""core""",1,55,"""periphery""",7
,55,"""periphery""",4,55,"""periphery""",7,15,"""core""",7
,55,"""periphery""",4,55,"""periphery""",7,15,"""core""",1
,55,"""periphery""",4,55,"""periphery""",7,15,"""core""",1
,55,"""periphery""",1,55,"""periphery""",7,55,"""periphery""",1
